raw_features 47414행, 130거래일 (2026-02-05 ~ 2026-08-21)
왕복비용(정본 산식, 평균가 1040.99 기준): 0.0712pt | 병기(394차 구 가정): 0.133pt
※ 방향 ± 둘 다 출력 — 더 좋은 쪽 사후 선택은 in-sample. 후보 심사는 예상 부호 사전 명세 방향만 읽을 것.

feature                       h    거래수 | +1방향:     net/일      t       전반       후반 | -1방향:     net/일      t
macro_us10y_chg              15     50 |           -0.2234  -0.38   0.0000  -0.4434 |            0.1682   0.29
macro_vix                    15    190 |            0.8653   0.98   0.0000   1.7173 |           -1.0751  -1.21
microprice_bias              15   1272 |           -4.9653  -2.13   0.0000  -9.8542 |            3.5606   1.54
microprice_depth_bias        15   1273 |           -1.4455  -0.61   0.0000  -2.8688 |            0.0397   0.02
microprice_slope             15   1273 |            1.8552   0.84   0.0000   3.6819 |           -3.2610  -1.47
mlofi_norm                   15   1273 |            0.2507   0.11   0.0000   0.4976 |           -1.6566  -0.70
mlofi_slope                  15   1270 |           -1.1616  -0.39   0.0000  -2.3053 |           -0.2409  -0.08
ofi_imbalance                15   1270 |           -2.6430  -1.26   0.0000  -5.2453 |            1.2405   0.60
ofi_norm                     15   1272 |           -1.9061  -0.90   0.0000  -3.7828 |            0.5014   0.24
ofi_reversal_speed           15   1272 |            2.0772   0.84   0.0000   4.1224 |           -3.4819  -1.39
opt_pcr_extreme_signed       15    637 |            0.0602   0.03   0.0000   0.1195 |           -0.7637  -0.43
opt_pcr_norm                 15    638 |            0.1322   0.07   0.0000   0.2624 |           -0.8368  -0.47
opt_pcr_slope_norm           15    866 |           -1.9245  -1.05   0.0000  -3.8195 |            0.9682   0.54
poc_distance                 15   3016 |           -6.3128  -0.95 -15.3194   2.5552 |            2.9822   0.45
prev_day_same_hour_ret       15    569 |           -1.9799  -1.81   0.0000  -3.9294 |            1.3516   1.27
program_arb_net              15    619 |           -2.0528  -1.49   0.0000  -4.0740 |            1.3692   1.01
program_foreign_net_krw      15    403 |           -0.1435  -0.12   0.0000  -0.2847 |           -0.3016  -0.26
program_non_arb_net          15    619 |            1.5022   1.36   0.0000   2.9814 |           -2.1858  -1.92
quality_investor_age_sec     15   1272 |           -2.9200  -1.15   0.0000  -5.7951 |            1.5153   0.60
quality_investor_fetch_count   15    129 |            1.0781   1.01   0.0000   2.1396 |           -1.2205  -1.15
quality_macro_age_sec        15   1272 |           -1.8337  -0.72   0.0000  -3.6391 |            0.4290   0.17
queue_depletion_speed        15   1196 |           -0.4652  -0.22   0.0000  -0.9232 |           -0.8556  -0.41
queue_momentum               15   1270 |            2.6812   1.10   0.0000   5.3212 |           -4.0837  -1.67
queue_refill_rate            15   1196 |           -2.0370  -0.98   0.0000  -4.0426 |            0.7162   0.35
queue_signal                 15   1272 |            0.0176   0.01   0.0000   0.0350 |           -1.4224  -0.55
queue_signal_ma              15   1273 |           -1.5597  -0.57   0.0000  -3.0953 |            0.1538   0.06
ret_15m                      15   2967 |            5.5608   0.89  10.6086   0.5906 |           -8.8373  -1.41
ret_1m                       15   3088 |           -1.6729  -0.28 -11.7904   8.2889 |           -1.7373  -0.29
ret_5m                       15   3068 |           -5.9588  -0.97 -15.1514   3.0924 |            2.5707   0.42
retail_futures_net           15   1264 |           -0.6716  -0.24   0.0000  -1.3328 |           -0.7243  -0.26
spread_ticks                 15   1269 |            0.4833   0.20   0.0000   0.9592 |           -1.8847  -0.79
time_cos                     15   3087 |            7.9850   1.22   9.6800   6.3160 |          -11.3941  -1.75
time_sin                     15   3087 |           -8.3770  -1.30 -13.0878  -3.7387 |            4.9679   0.77
toxicity_atr_stress          15    950 |           -1.0165  -0.57   0.0000  -2.0174 |           -0.0326  -0.02
toxicity_cancel_stress       15   1134 |           -1.4485  -0.68   0.0000  -2.8747 |            0.1962   0.09
toxicity_flow_stress         15   1273 |           -2.6379  -1.05   0.0000  -5.2353 |            1.2321   0.49
toxicity_queue_stress        15   1173 |           -4.1249  -1.94   0.0000  -8.1863 |            2.8295   1.35
toxicity_score               15   1273 |           -3.4872  -1.55   0.0000  -6.9208 |            2.0814   0.93
toxicity_score_ma            15   1272 |           -0.0870  -0.03   0.0000  -0.1727 |           -1.3177  -0.52
va_bandwidth                 15   3006 |            7.2021   1.15  11.3205   3.1471 |          -10.5218  -1.68
volume_acceleration          15   3068 |            0.5966   0.09   7.7658  -6.4622 |           -3.9847  -0.59
vwap_momentum                15   2842 |           -7.3574  -1.13 -12.5726  -2.2225 |            4.2189   0.65
vwap_position                15   2726 |           -2.6050  -0.40 -12.4107   7.0499 |           -0.4054  -0.06
atr                          30   1505 |           -7.4719  -1.17 -12.4596  -2.5610 |            5.8099   0.91
atr_ratio                    30   1505 |           -8.0905  -1.29 -14.0489  -2.2238 |            6.4285   1.02
avg_volume                   30   1505 |           -6.0215  -0.89 -10.3877  -1.7226 |            4.3595   0.65
bb_position                  30   1472 |           -2.7232  -0.42 -12.0566   6.4667 |            1.0976   0.17
cancel_add_ratio             30    632 |           -1.2817  -0.58   0.0000  -2.5436 |            0.5837   0.26
cvd                          30    187 |            3.0769   2.28   0.0000   6.1065 |           -3.2834  -2.42
cvd_delta_norm               30   1505 |           -3.1485  -0.49 -10.2002   3.7946 |            1.4865   0.23
cvd_divergence               30   1504 |           -9.7712  -1.50 -14.5756  -5.0407 |            8.1103   1.24
cvd_monotone_ratio           30    263 |           -2.9234  -1.73   0.0000  -5.8017 |            2.6329   1.57
cvd_slope                    30   1504 |           -0.9857  -0.15 -12.8861  10.7316 |           -0.6752  -0.10
ema_cross                    30   1275 |           -6.8291  -1.07 -12.8307  -0.9199 |            5.4211   0.85
foreign_call_net             30    629 |            0.9181   0.36   0.0000   1.8221 |           -1.6127  -0.64
foreign_futures_net          30    629 |            0.7589   0.31   0.0000   1.5061 |           -1.4535  -0.58
foreign_put_net              30    629 |           -2.1585  -0.83   0.0000  -4.2837 |            1.4638   0.56
foreign_retail_divergence    30    629 |            1.7118   0.66   0.0000   3.3972 |           -2.4064  -0.93
hurst                        30   1406 |           -8.7666  -1.44 -12.6061  -4.9861 |            7.2139   1.19
imbalance_slope              30    631 |            1.5251   0.47   0.0000   3.0267 |           -2.2219  -0.68
institution_futures_net      30    629 |           -3.9084  -1.41   0.0000  -7.7567 |            3.2138   1.17
macro_krw_chg                30    523 |           -1.6705  -0.69   0.0000  -3.3153 |            1.0929   0.46
macro_nasdaq_chg             30     13 |           -0.5183  -1.83   0.0000  -1.0287 |            0.5040   1.82
macro_sp500_chg              30     50 |           -0.3465  -0.44   0.0000  -0.6877 |            0.2913   0.37
macro_us10y_chg              30     38 |           -1.0814  -1.40   0.0000  -2.1463 |            1.0395   1.35
macro_vix                    30    115 |            0.3004   0.30   0.0000   0.5961 |           -0.4274  -0.43
microprice_bias              30    632 |           -0.7355  -0.27   0.0000  -1.4596 |            0.0375   0.01
microprice_depth_bias        30    632 |           -0.3894  -0.14   0.0000  -0.7729 |           -0.3085  -0.11
microprice_slope             30    632 |            0.0786   0.05   0.0000   0.1560 |           -0.7766  -0.45
mlofi_norm                   30    632 |            2.5834   1.10   0.0000   5.1271 |           -3.2814  -1.39
mlofi_slope                  30    630 |           -2.9083  -1.11   0.0000  -5.7719 |            2.2126   0.85
ofi_imbalance                30    632 |           -3.7845  -1.47   0.0000  -7.5107 |            3.0865   1.20
ofi_norm                     30    632 |           -0.7023  -0.25   0.0000  -1.3938 |            0.0044   0.00
ofi_reversal_speed           30    632 |            2.4377   1.02   0.0000   4.8379 |           -3.1356  -1.31
opt_pcr_extreme_signed       30    335 |            2.2484   1.05   0.0000   4.4621 |           -2.6183  -1.21
opt_pcr_norm                 30    336 |            2.2861   1.07   0.0000   4.5370 |           -2.6572  -1.23
opt_pcr_slope_norm           30    436 |            0.8579   0.42   0.0000   1.7025 |           -1.3393  -0.66
poc_distance                 30   1497 |            4.1409   0.66   9.0038  -0.6473 |           -5.7940  -0.92
prev_day_same_hour_ret       30    284 |           -1.2732  -0.88   0.0000  -2.5269 |            0.9596   0.66
program_arb_net              30    309 |           -1.3889  -0.98   0.0000  -2.7565 |            1.0477   0.74
program_foreign_net_krw      30    201 |           -0.9435  -0.66   0.0000  -1.8726 |            0.7216   0.50
program_non_arb_net          30    309 |            1.0498   0.75   0.0000   2.0835 |           -1.3911  -0.99
quality_investor_age_sec     30    632 |           -4.7015  -2.00   0.0000  -9.3307 |            4.0036   1.71
quality_investor_fetch_count   30    112 |            0.4347   0.34   0.0000   0.8628 |           -0.5584  -0.44
quality_macro_age_sec        30    632 |            0.2064   0.09   0.0000   0.4096 |           -0.9043  -0.39
queue_depletion_speed        30    598 |           -2.4826  -0.97   0.0000  -4.9270 |            1.8222   0.72
queue_momentum               30    630 |            2.3382   0.87   0.0000   4.6404 |           -3.0339  -1.13
queue_refill_rate            30    598 |            2.2182   0.87   0.0000   4.4022 |           -2.8786  -1.13
queue_signal                 30    632 |           -1.5859  -0.56   0.0000  -3.1473 |            0.8879   0.32
queue_signal_ma              30    632 |            0.8726   0.38   0.0000   1.7317 |           -1.5705  -0.67
ret_15m                      30   1480 |            6.1859   0.98  11.6260   0.8295 |           -7.8203  -1.24
ret_1m                       30   1505 |            6.9667   1.04  10.1548   3.8276 |           -8.6287  -1.29
ret_5m                       30   1501 |            2.9349   0.45  11.7344  -5.7291 |           -4.5925  -0.70
retail_futures_net           30    629 |           -1.8836  -0.83   0.0000  -3.7382 |            1.1890   0.52
spread_ticks                 30    630 |           -2.0649  -0.97   0.0000  -4.0981 |            1.3692   0.65
time_cos                     30   1504 |            8.1999   1.27  11.2775   5.1696 |           -9.8608  -1.53
time_sin                     30   1504 |           -7.7614  -1.20 -12.3213  -3.2716 |            6.1005   0.94
toxicity_atr_stress          30    518 |           -1.4747  -0.85   0.0000  -2.9267 |            0.9027   0.52
toxicity_cancel_stress       30    563 |           -1.7713  -0.95   0.0000  -3.5154 |            1.1496   0.62
toxicity_flow_stress         30    632 |           -1.2525  -0.50   0.0000  -2.4858 |            0.5546   0.22
toxicity_queue_stress        30    591 |           -5.1028  -2.12   0.0000 -10.1270 |            4.4501   1.86
toxicity_score               30    632 |           -2.5660  -0.93   0.0000  -5.0926 |            1.8681   0.68
toxicity_score_ma            30    632 |            0.9168   0.35   0.0000   1.8194 |           -1.6147  -0.62
va_bandwidth                 30   1493 |           -5.1487  -0.79 -10.9812   0.5940 |            3.5000   0.54
volume_acceleration          30   1499 |          -10.7211  -1.78 -12.1108  -9.3528 |            9.0657   1.51
vwap_momentum                30   1405 |           -5.6990  -0.87 -12.7169   1.2108 |            4.1475   0.63
vwap_position                30   1359 |           -3.0055  -0.46 -14.3073   8.1225 |            1.5047   0.23

합격 참고선(08-02 계획 L2, 관측 전 고정): 일평균 net > 0 이고 t 유의 + 전·후반 동부호. 구 가정(0.133pt) 열은 JSON에 병기.
JSON: docs/미륵이고도화3/26주WFA_20260824/L2_tradability.json
